location,year,grantee,description,amount,term,program
"Rockville, MD",2019,Pretrial Justice Institute,Support for the Pretrial Innovators Convention.,"$10,000",12 months,Special Opportunities
"Portland, OR",2019,Latino Network,Support for a convening of the EBP+ Collaborative.,"$25,000",12 months,Youth Justice
"Austin, TX",2019,Texas Public Policy Foundation,Support to advance state and federal criminal justice reform by generating support from conservative audiences.,"$150,000",12 months,Criminal Justice
"Washington, DC",2019,New Venture Fund,"Support for Voices for Civil Justice to generate media coverage of civil legal aid, and increase the visibility and communications capacity of the sector.","$300,000",24 months,Special Opportunity
"New Orleans, LA",2019,Voice of the Experienced,"Support to provide grassroots leadership, organizing, and advocacy expertise for advancing criminal justice reform to reduce incarceration in Louisiana. ","$770,000",24 months,Youth Justice
"Denver, CO",2019,Colorado Criminal Justice Reform Coalition,Support to advance sentencing reform and community-investment in public health and safety to reduce the impacts of the criminal justice system in Colorado.,"$500,000",24 months,Youth Justice
"Washington, DC",2018,National Juvenile Justice Network,"Support for a Network of Youth Justice Advocates, a membership group of state-based juvenile justice advocacy organizations.","$400,000",24 months,Youth Justice
"Washington, DC",2019,Campaign for Youth Justice,"Support for advocacy, media, research and policy initiatives to end the prosecution, sentencing, and incarceration of youth under the age of 18 in the adult cr…","$400,000",12 months,Youth Justice
"Washington, DC",2019,New Venture Fund,Support for Youth First State Advocacy Fund.,"$400,000",12 months,Youth Justice
"Brooklyn, NY",2019,Center for Popular Democracy,Support for coordination of state coalitions and forced arbitration campaigns.,"$700,000",24 months,Workers' Rights
"Burlington, VT",2019,Rights and Democracy Education Fund,Support for state advocacy and organizing group in Vermont to protect workers.,"$450,000",24 months,Workers' Rights
"New York, NY",2019,Make the Road New York,"Support for New York State Low-Wage Worker Organizing Table to advance workersÛª rights through organizing, legal services, worker training, and local and sta…","$900,000",24 months,Workers' Rights
"Brooklyn, NY",2019,Justice in Motion,Support to advocate for policy reforms protecting migrant rights across borders including training lawyers in the U.S. and Latin America on issues in transnati…,"$250,000",24 months,Workers' Rights
"Baltimore, MD",2019,Centro de los Derechos del Migrante,"Support to advocate for migrant worker protections through legal representation, transnational litigation support, worker training, and organizing.","$400,000",24 months,Workers' Rights
"Boston, MA",2019,Public Health Advocacy Institute,"Support for technical assistance, public education, and research.","$300,000",24 months,Workers' Rights
"Longmeadow, MA",2019,National Council on Occupational Safety & Health,"Support to advance policies that protect workersÛª rights by uniting workers to achieve safe, healthy, and just conditions through leadership development, tec…","$300,000",24 months,Workers' Rights
"Washington, DC",2019,Center for Progressive Reform,"Support for occupational safety and health research, policy design, and technical assistance for state and local advocacy.","$400,000",24 months,Workers' Rights
"Chicago, IL",2019,Northwestern University School of Law,"Support for juvenile justice advocacy and research to reduce youth incarceration, advance age-appropriate treatment, and reduce racial bias in Illinois.","$200,000",24 months,Youth Justice
"Evanston, IL",2019,Juvenile Justice Initiative,General support.,"$100,000",12 months,Youth Justice
"Washington, DC",2019,R Street Institute,Support to build conservative support for ending policies to try youth as adults.,"$100,000",12 months,Youth Justice
"Washington, DC",2019,The Education Trust,Support for the campaign to lift the ban on federal Pell grants for incarcerated students.,"$200,000",12 months,Special Opportunities
"Aurora, CO",2019,"Second Chance Center, Inc.",General support.,"$75,000",12 months,Criminal Justice
"Detroit, MI",2019,Detroit Justice Center,General support.,"$200,000",24 months,Criminal Justice
"New Orleans, LA",2019,Operation Restoration,Support to reduce the number of incarcerated women and girls while supporting those who are currently and formerly incarcerated.,"$200,000",24 months,Criminal Justice
"Oakland, CA",2019,Neighborhood Funders Group,Support for Funders for a Just Economy.,"$75,000",24 months,Workers' Rights
"Washington, DC",2019,Council for Court Excellence,"Support for a Washington, D.C. focused criminal and youth justice landscape analysis.","$34,000",4 months,Special Opportunities
"Richmond, VA",2019,"ART 180, Inc.",General support.,"$20,000",8 months,President's Discretionary Fund
"Washington, DC",2019,March on Washington Film Festival,General support.,"$20,000",12 months,President's Discretionary Fund
"Washington, DC",2019,ONE DC,General support.,"$20,000",12 months,President's Discretionary Fund
"Washington, DC",2019,Aspen Institute,Support for the Forum for Community Solutions. ,"$25,000",12 months,President's Discretionary Fund
"Roxbury, MA",2019,National Council for Incarcerated and Formerly Incarcerated Women,General support.,"$50,000",12 months,Criminal Justice
"San Francisco, CA",2019,Tides Center,Support to Californians for Safety and Justice.,"$200,000",12 months,Criminal Justice
"Bronx, NY",2019,Community Connections for Youth,Support for the Carolina Youth Action Project's campaign to remove school resource officers from school campuses.,"$50,000",12 months,Youth Justice
"Baltimore, MD",2019,Centro de los Derechos del Migrante,General support.,"$50,000",6 months,Workers' Rights
"Oakland, CA",2018,ColorOfChange.Org Education Fund,"Support to provide digital organizing training to, and engage Color of Change members in, state-based campaigns calling for youth prison closures and reinvestm…","$100,000",24 months,Youth Justice
"Oakland, CA",2018,Youth Radio,Support to develop a National Youth Justice Desk.,"$300,000",18 months,Youth Justice
"Newark, NJ",2018,New Jersey Institute for Social Justice,Support for a statewide campaign to close youth prisons and reinvest in communities.,"$600,000",24 months,Youth Justice
"Calabasas, CA",2018,Social & Environmental Entrepreneurs,Support for National Alianza for Latino Youth Justice.,"$200,000",24 months,Youth Justice
"Louisville, KY",2018,Kentucky Youth Advocates,"Support to advocate on improving Kentucky policies around the charging of youth, use of incarceration, and reducing racial disparities in the juvenile justice …","$50,000",12 months,Youth Justice
"Lansing, MI",2018,Michigan Council on Crime and Delinquency,Support for a campaign to raise the age of juvenile court jurisdiction to eighteen in Michigan.,"$415,000",24 months,Youth Justice
"Lexington, KY",2018,Kentucky Equal Justice Center,Support to state advocacy for workplace policy.,"$160,000",24 months,Workers' Rights
"Madison, WI",2018,State Innovation Exchange,Support for multi-state technical assistance on low-wage worker issues. ,"$150,000",24 months,Workers' Rights
"San Diego, CA",2018,National COSH,Support for a convening of organizers and advocates on sexual harassment and violence.,"$30,000",6 months,Workers' Rights
"Brooklyn, NY",2018,Center for Popular Democracy,Support for assistance to grantees on fundraising strategies.,"$100,000",12 months,Workers' Rights
,2018,President and Fellows of Harvard College,"Support for initiatives to reimagine labor and employment laws, improve labor standards enforcement, and document best practices for agency policymaking.","$370,000",12 months,Workers' Rights
"Minneapolis, MN",2018,BlueGreen Alliance Foundation,"Support for Safer Chemicals, Safer Jobs Program.","$200,000",24 months,Workers' Rights
"Washington, DC",2018,National Employment Law Project,Support for the National Legal Advocacy Network.,"$175,000",12 months,Workers' Rights
"Washington, DC",2018,The Praxis Project,Support for the UndocuBlack Network.,"$32,617",12 months,Special Opportunities
"San Francisco, CA",2018,Immigrant Legal Resource Center,Support to address the criminalization of immigrant youth of color.,"$100,000",18 months,Youth Justice
"San Francisco, CA",2018,Immigrant Legal Resource Center,Support to address the criminalization of immigrant youth of color.,"$100,000",18 months,Special Opportunities
"Phoenix, AZ",2018,Puente Human Rights Movement,"Support to develop, educate, and empower migrant communities and change the conditions that lead to immigrant incarceration and deportation.","$160,000",12 months,Special Opportunities
"Philadelphia, PA",2018,Juntos,General support.,"$32,617",12 months,Special Opportunities
"New Haven, CT",2018,Artspace New Haven,Support for May Day 20/20: Learning from the Black Panther Trials 50 Years Later.,"$50,000",12 months,Special Opportunities
"Austin, TX",2018,Grassroots Leadership,"Support to end for-profit incarceration and reduce reliance on criminalization and detention through organizing, research, advocacy, and public education.","$147,000",12 months,Special Opportunities
"New York, NY",2018,New World Foundation,Support for the Diverse Asset Managers Initiative.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2018,"Pacifica Foundation, dba WPFW",General support.,"$25,000",12 months,President's Discretionary Fund
"Portland, OR",2018,Partnership for Safety and Justice,"Support to advance criminal justice reforms and better address the needs of survivors of crime, people convicted of crime, and the families of both.","$300,000",24 months,Criminal Justice
"San Francisco, CA",2018,Tides Center,Support for Alliance for Safety and Justice.,"$750,000",12 months,Criminal Justice
"Washington, DC",2018,FAMM,General support.,"$300,000",24 months,Criminal Justice
"Atlanta, GA",2018,Southerners On New Ground,Support for a 12-week Community Organizing Apprenticeship for formerly incarcerated African American mothers and caretakers.,"$200,000",24 months,Special Opportunities
"San Francisco, CA",2018,Tides Center,"Support for the Black Census Project, an initiative of the Black Futures Lab.","$200,000",24 months,Special Opportunities
"Worcester, MA",2018,EPOCA INC,General support.,"$5,000",12 months,Special Opportunities
"Washington, DC",2018,Economic Policy Institute,Support for research at the nexus of enforcement and forced arbitration.,"$100,000",6 months,Workers' Rights
"San Francisco, CA",2018,Center on Juvenile and Criminal Justice,Support for the Pacific Juvenile Defender Center.,"$165,000",24 months,Youth Justice
"Portland, OR",2018,National Crittenton Foundation,Support to provide training and technical assistance to youth justice stakeholders on building a continuum of community-based supports and services for girls.,"$200,000",24 months,Youth Justice
"New York, NY",2018,Columbia University,Support for The Justice Lab to coordinate Youth Correctional Administrators for Justice.,"$150,000",12 months,Youth Justice
"Washington, DC",2018,Split This Rock,General support.,"$10,000",12 months,President's Discretionary Fund
"New York, NY",2018,The New Press,"Support to publish a book by Danielle Sered, Executive Director of Common Justice.","$25,000",12 months,President's Discretionary Fund
"Washington, DC",2018,ONE DC,General support.,"$25,000",12 months,President's Discretionary Fund
"Chicago, IL",2018,Cabrini Green Legal Aid Clinic,General support.,"$25,000",12 months,President's Discretionary Fund
"Richmond, VA",2018,"ART 180, Inc.",General support.,"$15,000",12 months,President's Discretionary Fund
"New York, NY",2018,NEO Philanthropy,Support for the Occupational Safety & Health Law Project.,"$200,000",24 months,Workers' Rights
"Lincoln, NE",2018,Nebraska Appleseed,Support for advocacy for meat and poultry workers.,"$75,000",24 months,Workers' Rights
"New York, NY",2018,National Economic and Social Rights Initiative,Support for worker's compensation reform and Work with Dignity Initiative. ,"$200,000",24 months,Workers' Rights
Los Angeles,2018,Community Partners,Support for Healing Dialogue and Action.,"$125,000",24 months,Youth Justice
"Boston, MA",2018,Citizens for Juvenile Justice,General support.,"$200,000",24 months,Youth Justice
"Washington, DC",2018,Campaign for the Fair Sentencing of Youth,General support.,"$200,000",24 months,Youth Justice
"Bronx, NY",2018,Community Connections for Youth,Support for the national convening on Credible Messenger Mentoring.,"$200,000",12 months,Special Opportunities
"Fresno, CA",2018,"Radio Bilingue, Inc.","Support to increase Spanish news coverage of criminal justice reform issues impacting Latinos, including support for national Spanish public radio.","$200,000",12 months,Special Opportunities
"Washington, DC",2018,National Public Radio,Support for coverage of criminal justice and youth justice issues.,"$200,000",12 months,Criminal Justice
"Washington, DC",2018,Advancement Project,Support for Action Camp.,"$10,000",6 months,Youth Justice
"Oakland, CA",2018,W. Haywood Burns Institute,"Program support for coordinating a new research network to focus on structural racism in the administration of youth justice, and the Community Justice Ne…","$500,000",24 months,Youth Justice
"Milwaukee, WI",2018,Public Allies,Support for Youth Justice Milwaukee.,"$400,000",24 months,Youth Justice
"Bridgeport, CT",2018,Regional Youth Adult Social Action Partnership,Support for the Connecticut Juvenile Justice Alliance.,"$500,000",24 months,Youth Justice
"Portland, OR",2018,Northwest Employment Education and Defense Fund,General support and program support for state policy coalition.,"$400,000",24 months,Workers' Rights
"Dorchester, MA",2018,Massachusetts Coalition for Occupational Safety and Health,General support.,"$150,000",24 months,Workers' Rights
"Boston, MA",2018,Community Labor United,General and program support.,"$350,000",24 months,Workers' Rights
"New York, NY",2018,"Vera Institute of Justice, Inc.",Support to advance state-base advocacy strategies for increased access to prison-based college education in target states; with the goal of removing the federa…,"$1,000,000",24 months,Special Opportunities
"Brooklyn, NY",2018,Common Justice,General support.,"$1,000,000",24 months,Special Opportunities
"Atlanta, GA",2018,Southern Center for Human Rights,General support.,"$140,000",24 months,Special Opportunities
"Washington, DC",2018,March on Washington Film Festival,General support.,"$25,000",12 months,President's Discretionary Fund
"Lansing, MI",2018,Safe & Just Michigan,Support for the National Network of Justice.,"$141,600",12 months,Criminal Justice
"New York, NY",2018,The Marshall Project,"Support for the ""Changing the Narrative on Criminal Justice"" Speaker Series.","$200,000",12 months,Criminal Justice
"Austin, TX",2018,Texas Criminal Justice Coalition,Support to raise the age of juvenile court jurisdiction to 18.,"$250,000",24 months,Youth Justice
"Austin, TX",2018,Texas Criminal Justice Coalition,General support.,"$620,000",24 months,Criminal Justice
"Atlanta, GA",2018,Southern Center for Human Rights,"To reduce incarceration and racial disparities in GeorgiaÛªs criminal justice system through research, advocacy, and coalition building.","$525,000",24 months,Criminal Justice
"New York, NY",2018,Echoing Green,Direct costs of two Fellows in the 2018 class who are focused on improving outcomes in criminal justice and/or racial equity related issue areas.,"$200,000",12 months,Special Opportunities
"Austin, TX",2018,Texas Appleseed,To advance policies in Texas to keep youth in school and out of the justice system.,"$100,000",12 months,Youth Justice
"Goldsboro, NC",2018,Repairers of the Breach,"Forward Justice to advance community-based justice reinvestment strategies, in partnership with system-impacted leaders in North Carolina. ","$200,000",12 months,Special Opportunities
"Washington, DC",2018,New Venture Fund,Communities for Just Schools Fund. ,"$200,000",24 months,Youth Justice
"Washington, DC",2018,Justice Policy Institute,"For research, public education, and re-framing the debate around tough-on-crime justice reform efforts in Maryland, fueled by the resurrection of law and order…","$100,000",12 months,Criminal Justice
"Austin, TX",2018,Grassroots Leadership,"A criminal justice report on racial disparities and over-incarceration in Harris County, which includes Houston, Texas. ","$75,000",12 months,Criminal Justice
"Austin, TX",2018,Center for Public Policy Priorities,"Fiscal analysis of criminal justice reform policies and community-centered reinvestment strategies in Texas, in partnership with state-based advocates. ","$70,000",12 months,Criminal Justice
"Washington, DC",2018,Campaign for the Fair Sentencing of Youth,Support to hire formerly incarcerated youth to coordinate the Incarcerated Children's Advocacy Network (ICAN).,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2018,Justice Policy Institute,Support for research and communications strategies to enhance reform efforts on youth charged with violent offenses. ,"$175,000",12 months,Youth Justice
"New York, NY",2018,NEO Philanthropy,Support for the Occupational Safety and Health Law Project for training of lawyers in occupational safety and health law. ,"$60,000",12 months,Workers' Rights
"Washington, DC",2018,Center for American Progress,Support for research into wage theft from high-fee pay delivery systems. ,"$75,000",12 months,Workers' Rights
"Austin, TX",2018,Texas Criminal Justice Coalition,Support for the Lone Start Justice Alliance. ,"$85,000",24 months,Criminal Justice
"Berkeley, CA",2018,East Bay Community Law Center,"Support for thought leadership and advocacy to reform the use of electronic monitoring in juvenile court at the local, state, and national levels. ","$200,000",24 months,Special Opportunities
"San Jose, CA",2018,Working Partnerships USA,General support and program support for the Making Work Pay Coalition. ,"$600,000",24 months,Workers' Rights
"Oakland, CA",2018,Worksafe,General support. ,"$200,000",24 months,Workers' Rights
"Brooklyn, NY",2018,Center for Popular Democracy,Support for State Advocacy Campaigns addressing forced arbitration. ,"$300,000",12 months,Workers' Rights
"Chicago, IL",2018,Raise the Floor Alliance,General support. ,"$700,000",24 months,Workers' Rights
"Baltimore, MD",2018,United Workers Association,General support and program support for a workers' rights coalition. ,"$400,000",24 months,Workers' Rights
"Baltimore, MD",2018,Public Justice Center,Support for the Workplace Justice Project. ,"$600,000",24 months,Workers' Rights
"Des Moines, IA",2018,Youth Policy Institute of Iowa,Support for the Youth Justice Work Group of the Youth Transition Funders Group. ,"$15,000",24 months,Youth Justice
"Washington, DC",2018,New Venture Fund,Support for the Youth First State Advocacy Fund. ,"$400,000",12 months,Youth Justice
"Charlottesville, VA",2018,Legal Aid Justice Center,Support to RISE Youth Campaign which works to create and expand community alternatives to youth incarceration in Virginia. ,"$400,000",24 months,Youth Justice
"Washington, DC",2018,Urban Institute,Support to provide research and data support to Youth First and state campaigns advocating for youth prison closures and investment in effective community prog…,"$250,000",24 months,Youth Justice
"New Orleans, LA",2018,Voice of the Experienced,General support. ,"$385,000",12 months,Criminal Justice
"Philadelphia, PA",2018,American Friends Service Committee,Support for a statewide sentencing reform campaign in Arizona. ,"$485,000",24 months,Criminal Justice
"Lansing, MI",2018,Citizens Alliance on Prisons and Public Spending,General support. ,"$511,335",24 months,Criminal Justice
"New Brunswick, NJ",2017,Rutgers University – Center for Innovation in Worker Organization,Support for education state and local labor departments on strategic enforcement practices. ,"$150,000",24 months,Workers' Rights
"San Francisco, CA",2017,Tides Center,"Support for Californians for Safety and Justice, to advocate for statewide criminal justice reform, including building support among diverse constituencies.&nb…","$200,000",12 months,Criminal Justice
"Washington, DC",2018,National Public Radio,Support for coverage of workers' rights and other labor issues.,"$200,000",24 months,Workers' Rights
"Washington, DC",2017,New America Foundation,Support to assist in the research and design of an online best practices and national peer networking tool to aid the Self-Represented Litigation Network and t…,"$50,000",12 months,Special Opportunities
"Washington, DC",2017,"Innovation Network, Inc.",Support to conduct an independent evaluation of the Youth First Initiative. ,"$285,000",36 months,Special Opportunities
"Lexington, KY",2017,United Support and Memorial for Workplace Fatalities,General support. ,"$150,000",24 months,Workers' Rights
"Washington, DC",2017,Center for Public Integrity,"Support to produce original investigative journalism that holds policymakers accountable to the public, for a workers' rights reporting beat. ","$300,000",24 months,Workers' Rights
"Bronx, NY",2017,Community Connections for Youth,Support to provide technical assistance and training on building community capacity for alternatives to youth incarceration and reducing racial disparities in …,"$325,000",24 months,Youth Justice
"New York, NY",2017,Human Rights Watch,Support for research and advocacy to reduce the number of youth tried as adults and reduce youth incarceration in California. ,"$250,000",24 months,Youth Justice
"Washington, DC",2017,New Venture Fund,Support for the Youth First Initiative.,"$900,000",24 months,Youth Justice
"Washington, DC",2017,The Sentencing Project,General support. ,"$200,000",24 months,Criminal Justice
"Lansdowne, VA",2017,Prison Fellowship Ministries,Support to mobilize grassroots prison ministry volunteers to advance sentencing reform in target states. ,"$320,000",24 months,Criminal Justice
"Washington, DC",2017,Public Citizen Foundation,Support to build capacity for strategic advocacy in a challenging policy environment. ,"$200,000",24 months,Workers' Rights
"Oakland, CA",2017,East Bay Community Foundation,Support for engagement with fellow community foundations to support civil legal aid nationally. ,"$25,000",12 months,Special Initiative: Civil Legal Aid
"Brooklyn, NY",2017,Center for Popular Democracy,Support for the Forced Arbitration Initiative. ,"$150,000",12 months,Workers' Rights
"Oakland, CA",2017,The Employee Rights Advocacy Institute for Law and Policy,General support. ,"$75,000",24 months,Workers' Rights
"Baltimore, MD",2017,Centro de los Derechos del Migrante,Support for strategy development and advocacy of migrant worker groups engaging in multinational trade talks related to labor. ,"$20,000",12 months,Workers' Rights
"Washington, DC",2017,Working America Education Fund,Support for communications research on occupational safety and health. ,"$50,000",12 months,Workers' Rights
"Whitesburg, KY",2017,Appalachian Citizens’ Law Center,General support. ,"$100,000",24 months,Workers' Rights
"Immokalee, FL",2017,Coalition of Immokalee Workers,General support. ,"$100,000",24 months,Workers' Rights
"Washington, DC",2017,Jobs with Justice Education Fund,General support. ,"$200,000",24 months,Workers' Rights
"Richmond, VA",2017,Virginia Interfaith Center for Public Policy,General support. ,"$35,000",12 months,Workers' Rights
"Washington, DC",2017,Georgetown University,Support to the Center for Juvenile Justice Reform to convene the Juvenile Justice Leadership Network. ,"$200,000",24 months,Youth Justice
"Bronx, NY",2017,Community Connections for Youth,Support to the Carolina Youth Action Project to advocate for the effective implementation of South Carolina's recent reform to raise the age of juvenile court …,"$100,000",12 months,Youth Justice
"Washington, DC",2017,Association of Prosecuting Attorneys,"Support to educate membership about the need to advance sentencing reform at the national and state levels, as well as partner with state-based groups working …","$150,000",24 months,Criminal Justice
"San Francisco, CA",2017,Rockefeller Philanthropy Advisors,Support to the Executives' Alliance for Boys and Men of Color. ,"$60,000",12 months,Special Opportunities
"Washington, DC",2017,Service Year Alliance,Support for the Service Year Legal Corps Review project. ,"$25,000",12 months,Special Initiative: Civil Legal Aid
"Durham, NC",2017,"MDC, Inc.",General support to assist with MDC Inc.'s 50th Anniversary Capacity Building Initiative. ,"$25,000",12 months,Special Opportunities
"Cambridge, MA",2017,Harvard Law School,Support for a post-graduate fellowship program focused on improving access to civil justice through technical innovation.,"$80,000",18 months,Special Initiative: Civil Legal Aid
"Washington, DC",2017,Campaign for Youth Justice,Support to monitor and respond to new federal policy threats to youth justice reform. ,"$50,000",24 months,Youth Justice
"New Orleans, LA",2017,Louisiana Center for Children’s Rights,"Support for a campaign to implement new raise the age policies, and to reduce the transfer of youth to the adult systems in Louisiana. ","$200,000",24 months,Youth Justice
"Sulphur, LA",2017,"Justice for Families, LTD",Support to train and mobilize families directly impacted by the juvenile justice system to engage in state advocacy campaigns calling for an end to youth incar…,"$100,000",24 months,Youth Justice
"Philadelphia, PA",2017,American Friends Service Committee,Support for a statewide sentencing reform campaign in Arizona. ,"$120,000",6 months,Criminal Justice
"Denver, CO",2017,JFA Institute,"Support to provide technical assistance and research to support state criminal justice reform campaigns, in partnership with the Alliance for Safety and Justic…","$70,000",24 months,Criminal Justice
"Medford, MA",2017,Law Enforcement Action Partnership,General support. ,"$150,000",24 months,Criminal Justice
"New York, NY",2017,LatinoJustice PRLDEF,Support to engage Latinos in criminal justice reform efforts. ,"$150,000",24 months,Criminal Justice
"Washington, DC",2017,Justice Policy Institute,Support to convene strategic thought-leaders in the criminal justice reform field to explore new challenges faced by advocacy groups across the political spect…,"$103,000",12 months,Criminal Justice
"New York, NY",2017,"American Civil Liberties Union Foundation, Inc.",Support to advance sentencing reform in Mississippi.,"$100,000",12 months,Criminal Justice
"New York, NY",2017,National Employment Law Project,Support for a coordinated national campaign to reduce unnecessary structural barriers to employment for people with criminal records. ,"$100,000",24 months,Criminal Justice
"New York, NY",2017,Drug Policy Alliance,Support to advance sentencing and pretrial detention reforms to reduce incarceration rates in New Jersey.,"$100,000",12 months,Criminal Justice
"Baltimore, MD",2017,University of Baltimore Foundation,Support for the Maryland Access to Justice Commission. ,"$25,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2017,Equal Justice Works,Support to help launch an advocacy campaign to retain the Public Service Loan Forgiveness Program. ,"$25,000",12 months,Special Opportunities
"San Francisco, CA",2017,Tides Foundation,Support to the Indivisible Fund for its work to advance civic advocacy and engagement at the community level. ,"$50,000",12 months,Special Opportunities
